word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,2.94,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,1.0,8.0,0
0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,3.0,622.5,0
0.0,14.28,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,5.0,9.0,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.39,10.0,0.0,0.0,10.0,0.0,10.0,0.39,1.17,0.39,0.39,10.0,0.39,10.0,0.0,0.39,10.0,1.56,10.0,0.0,0.0,0.39,0.0,10.0,10.0,0.0,0.39,10.0,0.0,0.39,0.0,0.314,0.0,10.7875,0.0,0.0,16.883,108.5,133.0,0
0.0,0.35,0.35,0.0,10.95,10.0,0.0,0.35,0.0,1.07,0.0,0.71,0.0,0.0,0.0,10.25,0.71,10.0,2.85,10.0,2.5,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.35,0.0,10.0,10.0,0.0,0.35,10.0,0.0,0.0,0.0,0.233,0.0,10.7875,10.13,0.0,3.414,25.0,140.0,1
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,1.0,622.5,0
0.0,0.0,0.36,0.0,0.36,10.0,0.0,0.0,0.36,0.36,0.0,0.36,0.0,1.09,0.0,10.25,0.0,10.0,3.63,10.0,1.45,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.125,0.0,10.7875,0.0,0.0,16.883,5.0,94.0,1
0.0,0.42,0.0,0.0,10.95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,4.2,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.42,10.0,0.0,0.0,0.0,0.08,0.0,10.7875,10.13,0.0,2.522,108.5,111.0,1
0.0,0.0,0.94,0.0,0.0,10.0,10.0,0.0,0.0,1.88,0.0,1.88,0.0,0.0,0.0,10.25,0.0,10.0,4.71,10.0,0.94,0.0,10.0,0.94,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.0,2.571,20.0,36.0,1
0.26,0.26,0.0,0.0,10.95,10.0,10.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,1.57,0.0,0.0,0.26,10.0,0.26,10.0,0.0,0.0,10.0,0.26,10.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,10.0,0.0,0.0,0.065,0.0,0.032,0.0,0.0,0.0,16.883,108.5,115.0,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,1.28,10.0,0.0,0.0,10.0,0.0,10.0,10.0,2.56,1.28,1.28,10.0,1.28,10.0,0.0,1.28,10.0,1.28,10.0,0.0,0.0,1.28,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.632,0.0,0.0,0.0,0.0,16.883,108.5,45.0,0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,1.58,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.216,0.0,0.0,10.13,0.0,16.883,6.0,48.0,0
2.32,0.0,0.77,0.0,10.95,10.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,10.25,0.0,10.0,2.32,10.0,0.77,0.0,10.0,0.77,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.77,0.0,0.134,0.0,10.7875,10.13,0.0,16.883,108.5,622.5,1
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,1.0,622.5,0
1.88,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,10.25,0.0,10.0,0.31,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.168,0.0,10.7875,10.13,0.056,2.933,23.0,622.5,0
0.29,0.58,0.29,0.0,0.29,10.0,0.0,0.29,3.23,0.88,0.29,0.88,0.0,0.0,0.0,10.25,0.0,10.0,1.76,10.0,2.64,0.0,10.0,0.0,10.0,0.29,0.29,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.075,0.113,0.0,10.7875,10.13,0.113,2.285,16.0,208.0,0
0.0,0.0,0.0,0.0,10.95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,2.24,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.44,0.0,0.0,10.0,10.0,0.0,1.34,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,2.362,15.0,137.0,0
0.0,0.0,0.0,0.0,10.95,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,4.96,10.0,1.41,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,0.0,0.0,16.883,3.0,30.0,1
0.0,0.0,0.0,0.0,0.0,10.0,1.47,1.47,1.47,1.47,1.47,0.0,0.0,0.0,0.0,10.25,2.94,10.0,0.0,10.0,2.94,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.147,0.0,10.7875,10.13,0.0,16.883,108.5,622.5,1
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,1.02,10.0,1.02,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,1.02,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,108.5,65.0,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,1.81,10.0,0.0,0.0,10.0,0.0,10.0,1.81,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,108.5,49.0,0
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,1.57,10.0,0.78,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.78,0.78,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,2.848,108.5,94.0,0
0.51,0.0,0.0,0.0,0.17,10.0,0.0,0.0,0.34,0.17,0.0,2.07,0.0,0.0,10.0,10.25,0.0,10.0,2.24,10.0,1.03,0.0,10.0,0.0,10.0,0.69,0.17,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.34,0.0,10.0,0.0,0.0,0.466,0.248,0.0,0.0,10.13,0.062,2.926,108.5,622.5,0
0.0,0.0,0.73,0.0,0.36,10.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,10.25,0.73,10.0,1.09,10.0,1.46,0.36,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.36,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.0,16.883,108.5,622.5,1
0.0,0.0,3.7,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,7.4,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,3.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,1.0,9.0,0
0.0,0.0,0.37,0.0,10.95,10.0,10.0,0.0,0.0,0.75,0.0,1.13,0.0,0.0,0.0,10.25,0.0,10.0,2.65,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.37,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.883,4.0,43.0,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,2.04,10.0,0.68,0.0,10.0,0.0,10.0,10.0,0.0,0.68,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,2.461,17.0,96.0,0
0.09,0.0,0.09,0.0,10.95,10.0,0.0,0.0,0.0,0.18,0.0,0.46,0.0,0.09,0.0,10.25,0.37,10.0,0.56,10.0,0.65,0.0,10.0,0.0,10.0,10.0,0.0,0.09,0.0,10.0,0.28,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.09,0.0,0.0,0.28,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,16.883,25.0,622.5,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,10.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,5.88,0.73,0.73,0.73,10.0,10.0,10.0,0.0,0.73,0.73,0.73,10.0,0.0,0.73,0.73,0.0,10.0,10.0,0.0,0.73,10.0,0.0,0.0,0.388,0.259,0.129,0.0,10.13,0.0,2.666,108.5,96.0,0
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,3.7,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,0.0,0.0,2.571,108.5,36.0,0
0.68,0.68,0.68,0.0,10.95,10.0,10.0,0.0,0.0,0.68,0.0,2.05,0.0,0.0,0.0,10.25,0.0,10.0,4.1,10.0,2.73,0.0,10.0,0.68,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,0.0,0.0,2.472,108.5,89.0,1
0.15,0.0,0.46,0.0,10.95,10.0,10.0,0.0,0.92,0.76,0.76,0.92,0.0,0.0,0.0,10.25,0.0,10.0,1.23,10.0,2.0,0.0,10.0,0.15,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.15,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,10.0,0.0,0.0,0.0,0.271,0.0,10.7875,10.13,0.022,16.883,108.5,1257.0,1
0.43,0.0,0.43,0.0,10.95,10.0,0.0,0.0,0.0,0.87,0.0,0.43,0.0,0.0,0.0,10.25,3.49,10.0,1.31,10.0,1.74,0.0,10.0,0.0,10.0,0.0,0.43,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.074,2.955,108.5,133.0,1
0.37,0.0,0.63,0.0,0.25,10.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,10.25,0.0,10.0,1.51,10.0,0.25,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.37,10.0,0.0,0.0,0.0,0.107,0.0,10.7875,0.0,0.0,16.883,4.0,104.0,0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,3.17,10.0,3.17,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.0,3.333,108.5,30.0,1
0.0,0.37,0.0,0.0,10.95,10.0,0.37,0.74,0.37,0.37,0.0,0.74,0.37,0.0,0.0,10.25,1.49,10.0,16.6,10.0,1.49,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.74,0.0,0.0,10.0,0.0,0.37,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.0,3.337,108.5,267.0,1
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,1.13,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.136,0.0,0.0,10.13,0.409,16.883,108.5,68.0,0
0.0,0.0,0.0,0.0,10.95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.088,0.0,0.0,10.13,0.0,16.883,33.0,215.0,1
0.03,0.05,0.03,0.0,0.09,10.0,0.0,0.01,0.16,0.0,0.0,0.09,0.01,0.0,0.0,0.01,0.01,10.0,0.07,10.0,0.05,0.0,10.0,0.0,10.0,0.58,0.01,0.0,0.0,10.0,0.0,10.0,1.43,0.0,10.0,0.05,10.0,0.03,0.0,0.0,10.0,10.0,10.0,0.07,0.0,10.0,0.01,0.0,0.221,0.129,0.063,0.0,10.13,0.0,3.364,108.5,622.5,0
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,8.1,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,1.0,622.5,0
0.15,0.0,1.22,0.0,10.95,10.0,0.15,0.0,0.61,0.61,0.0,0.76,0.3,0.0,0.3,10.25,0.61,10.0,1.83,10.0,2.75,0.0,10.0,0.3,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.112,0.0,10.7875,10.13,0.0,16.883,108.5,801.0,1
0.0,0.0,0.85,0.0,10.95,10.0,10.0,0.0,0.0,0.17,0.0,0.34,0.17,0.0,0.0,10.25,0.0,10.0,0.85,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,16.883,3.0,89.0,0
0.62,0.0,0.62,0.0,10.95,10.0,10.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,10.25,0.62,10.0,1.25,10.0,2.51,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,10.13,0.0,2.52,22.0,121.0,1
0.56,0.0,0.32,0.0,10.95,10.0,0.0,0.0,0.16,0.0,0.08,0.72,0.56,0.0,0.0,10.25,1.13,10.0,4.6,10.0,2.01,0.0,10.0,0.32,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.32,10.0,0.0,0.0,0.0,0.121,0.0,10.7875,10.13,0.0,3.502,108.5,622.5,1
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,4.34,4.34,4.34,4.34,10.0,4.34,10.0,0.0,4.34,10.0,4.34,10.0,0.0,0.0,4.34,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,3.1,108.5,31.0,0
0.17,0.0,0.17,0.17,10.95,10.0,0.05,0.05,0.05,0.05,0.05,0.51,0.28,0.05,0.0,10.25,0.69,10.0,4.2,10.0,1.03,0.17,10.0,0.05,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.01,0.05,0.0,10.7875,10.13,0.03,16.883,108.5,536.0,1
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,3.96,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.21,0.0,0.0,10.13,0.0,16.883,108.5,125.0,0
0.0,0.0,0.6,0.0,10.95,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,10.25,0.0,10.0,1.81,10.0,1.21,0.0,10.0,0.6,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.412,0.0,10.7875,10.13,0.0,16.883,33.0,259.0,1
0.0,0.39,0.39,0.0,0.19,10.0,10.0,0.19,0.0,0.0,0.39,0.39,0.0,0.0,0.0,10.25,0.19,10.0,0.59,10.0,0.78,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.128,0.0,10.7875,10.13,0.0,16.883,31.0,622.5,1
0.0,0.0,0.71,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,10.25,0.0,10.0,0.71,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.121,0.0,10.7875,0.0,0.0,16.883,1.0,622.5,0
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,108.5,622.5,0
0.0,0.0,0.0,0.0,0.0,10.0,2.94,1.47,1.47,1.47,1.47,0.0,0.0,0.0,0.0,10.25,2.94,10.0,0.0,10.0,4.41,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.141,0.0,10.7875,10.13,0.0,16.883,108.5,622.5,1
0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.04,0.0,0.0,1.02,0.0,0.0,0.0,0.0,10.25,0.0,10.0,4.08,10.0,1.02,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,0.0,0.0,16.883,18.0,85.0,1
0.54,0.0,0.0,0.0,10.95,10.0,10.0,0.54,0.0,1.08,0.0,0.0,0.0,0.0,0.0,10.25,1.08,10.0,2.7,10.0,0.54,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,16.883,19.0,82.0,1
0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,10.25,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,2.411,108.5,41.0,1
0.0,0.18,1.1,0.0,10.95,10.0,10.0,0.09,0.83,0.27,0.27,0.64,0.27,0.0,1.47,0.09,0.0,10.0,1.38,10.0,0.64,0.0,10.0,0.18,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.09,10.0,0.0,0.0,0.0,0.094,0.0,10.7875,10.13,0.013,16.883,108.5,622.5,1
0.28,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.42,0.0,0.84,0.98,0.0,0.0,0.0,10.25,0.28,10.0,1.82,10.0,1.12,10.82,10.0,0.28,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.137,10.7875,10.13,1.233,16.883,108.5,622.5,1
2.27,0.0,2.27,0.0,10.95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,10.0,6.81,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0,16.883,1.0,622.5,0
